stt,name,price,size,support,of_players,genre,system,publisher,developer,languages,release_date
1,Metroid Prime™ 4: Beyond,$3.85,"Nintendo Switch: 28.9 GB , Nintendo Switch 2: 28.9 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,Chưa có,Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","December 4, 2025"
2,Kirby™ Air Riders,$3.85,21.7 GB,"TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Party , Racing",Nintendo Switch 2,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","November 20, 2025"
3,Kirby™ Air Riders: Global Test Ride,$0.00,9.1 GB,"TV mode , Tabletop mode , Handheld mode",Chưa có,Chưa có,Nintendo Switch 2,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","November 7, 2025"
4,Hyrule Warriors: Age of Imprisonment,$69.99,43.4 GB,"TV mode , Tabletop mode , Handheld mode",Chưa có,Action,Nintendo Switch 2,Nintendo,Chưa có,"Japanese, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","November 6, 2025"
5,Pokémon™ Legends: Z-A – Nintendo Switch™ 2 Edition,$69.99,"Nintendo Switch: 4.1 GB , Nintendo Switch 2: 7.7 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Role playing",Nintendo Switch 2,Nintendo,Chưa có,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","October 16, 2025"
6,Pokémon™ Legends: Z-A,$59.99,"Nintendo Switch: 4.1 GB , Nintendo Switch 2: 7.7 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Role playing",Nintendo Switch,Nintendo,Chưa có,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","October 16, 2025"
7,Super Mario Galaxy™ 2,$39.99,"Nintendo Switch: 2.8 GB , Nintendo Switch 2: 2.9 GB","TV mode , Tabletop mode , Handheld mode",Single System (1-2),"Action , Adventure",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","October 2, 2025"
8,Super Mario Galaxy™,$39.99,"Nintendo Switch: 3.7 GB , Nintendo Switch 2: 3.7 GB","TV mode , Tabletop mode , Handheld mode",Single System (1-2),"Action , Adventure",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","October 2, 2025"
9,Kirby™ and the Forgotten Land – Nintendo Switch™ 2 Edition + Star-Crossed World,$79.99,"Nintendo Switch: 5.8 GB , Nintendo Switch 2: 16.7 GB","TV mode , Tabletop mode , Handheld mode","Single System (1-2) , Online (1-)","Action , Adventure",Nintendo Switch 2,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","August 28, 2025"
10,Drag x Drive™,$19.99,1.9 GB,"TV mode , Tabletop mode",Chưa có,"Action , Sports",Nintendo Switch 2,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","August 14, 2025"
11,Super Mario Party™ Jamboree – Nintendo Switch™ 2 Edition + Jamboree TV,$79.99,"Nintendo Switch: 5.4 GB , Nintendo Switch 2: 12.6 GB","TV mode , Tabletop mode , Handheld mode","Single System (1-4) , Online (1-20)","Action , Party , Tabletop",Nintendo Switch 2,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","July 24, 2025"
12,Pokémon™ Friends,$9.99,"Nintendo Switch: 871 MB , Nintendo Switch 2: 871 MB","TV mode , Tabletop mode , Handheld mode",Chưa có,Puzzle,Nintendo Switch,Nintendo,Chưa có,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English","July 22, 2025"
